  Option  Hashing Function                                             Average Cracking Speed (H/s)
     116  VeraCrypt PBKDF2-HMAC-RipeMD160 + XTS 512 bit + boot-mode                          1768.8
     117  VeraCrypt PBKDF2-HMAC-SHA256 + XTS 512 bit                                         1210.0
     118  VeraCrypt PBKDF2-HMAC-SHA256 + XTS 512 bit + boot-mode                             3013.1
     119  Android FDE <= 4.3                                                               800112.5
     120  Android FDE (Samsung DEK)                                                        288912.5
     121  eCryptfs                                                                          13775.0
     122  MS Office <= 2003 MD5 + RC4, oldoffice$0, oldoffice$1                         224112500.0
     123  MS Office <= 2003 MD5 + RC4, collision-mode #1                                342987500.0
     124  MS Office <= 2003 SHA1 + RC4, oldoffice$3, oldoffice$4                        299550000.0
     125  MS Office <= 2003 SHA1 + RC4, collision-mode #1                               333450000.0
     126  Office 2007                                                                      134187.5
     127  Office 2010                                                                       66925.0
     128  Office 2013                                                                        8860.5
     129  PDF 1.1 - 1.3 (Acrobat 2 - 4)                                                 347987500.0
     130  PDF 1.1 - 1.3 (Acrobat 2 - 4) + collider-mode #1                              376775000.0
     131  PDF 1.4 - 1.6 (Acrobat 5 - 8)                                                  16162500.0
     132  PDF 1.7 Level 3 (Acrobat 9)                                                  2867287500.0
     133  PDF 1.7 Level 8 (Acrobat 10 - 11)                                                 32025.0
     134  Password Safe v2                                                                 335450.0
     135  Password Safe v3                                                                1232312.5
     136  Lastpass                                                                        2314125.0
     137  1Password, agilekeychain                                                        3293275.0
     138  1Password, cloudkeychain                                                          10589.6
     139  Bitcoin/Litecoin wallet.dat                                                        4503.8
     140  Blockchain, My Wallet                                                          50362500.0
     141  Keepass 1 (AES/Twofish) and Keepass 2 (AES)                                      139612.5
     142  ArubaOS                                                                      6855887500.0
